,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
447,中西區,房地(土地+建物),住,108,5,套房(1房1廳1衛),4,1,0,19.3842,26,3,0.6
449,北區,房地(土地+建物),商,108,12,住宅大樓(11層含以上有電梯),4,1,0,14.56235,37,2,0.4166666666666667
458,安南區,房地(土地+建物)+車位,住,108,3,透天厝,4,0,0,66.61049999999999,22,7,1.0
464,鹽水區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,1,0,36.58435,24,6,0.6
488,學甲區,房地(土地+建物)+車位,住,108,3,透天厝,4,0,0,49.87922499999999,1,11,1.0
495,鹽水區,房地(土地+建物)+車位,住,108,6,華廈(10層含以下有電梯),4,1,0,32.09525,20,4,1.0
496,新營區,房地(土地+建物),其他,108,12,住宅大樓(11層含以上有電梯),4,1,0,29.412075,25,5,1.0
500,鹽水區,房地(土地+建物),住,108,2,透天厝,5,0,0,30.979024999999996,38,5,1.0
505,東區,房地(土地+建物)+車位,其他,108,16,住宅大樓(11層含以上有電梯),4,1,0,50.986375,25,6,0.375
514,安平區,房地(土地+建物),住,108,6,套房(1房1廳1衛),4,1,0,9.937125,25,3,1.0
515,北區,房地(土地+建物)+車位,商,108,19,住宅大樓(11層含以上有電梯),4,1,0,37.8972,23,7,0.5789473684210527
519,北區,房地(土地+建物),商,108,14,套房(1房1廳1衛),4,1,0,9.295825,35,3,0.5714285714285714
526,東區,房地(土地+建物),其他,108,5,公寓(5樓含以下無電梯),4,0,0,20.99955,38,5,0.4
530,仁德區,房地(土地+建物),商,108,13,住宅大樓(11層含以上有電梯),4,1,0,33.2992,23,6,0.6153846153846154
538,仁德區,房地(土地+建物),住,108,14,住宅大樓(11層含以上有電梯),4,0,0,52.680375,9,7,0.7857142857142857
544,永康區,房地(土地+建物),商,108,15,套房(1房1廳1衛),4,1,0,23.0989,24,3,0.3333333333333333
547,歸仁區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,25.524949999999997,26,7,1.0
563,中西區,房地(土地+建物),商,108,3,透天厝,5,0,0,13.757699999999998,58,3,1.0
571,安南區,房地(土地+建物),其他,108,12,住宅大樓(11層含以上有電梯),4,1,0,26.72285,21,6,0.5
583,新市區,房地(土地+建物),商,108,8,套房(1房1廳1衛),4,1,0,11.7007,24,3,0.75
586,永康區,房地(土地+建物)+車位,其他,104,19,住宅大樓(11層含以上有電梯),4,1,0,39.787825,20,6,0.3157894736842105
588,仁德區,房地(土地+建物),住,108,4,套房(1房1廳1衛),4,0,0,8.482099999999999,24,3,0.75
631,仁德區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,28.8827,28,7,0.4
