,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
8429,東區,房地(土地+建物),住,7,3,透天厝,4,0,0.0,9,31.581,12.982489471517685,39,0,1.0
8464,潭子區,房地(土地+建物),其他,7,1,透天厝,5,0,0.0,6,17.9201,29.575727814018894,48,0,1.0
8932,神岡區,房地(土地+建物)+車位,住,7,16,住宅大樓(11層含以上有電梯),4,1,0.0,8,54.513525,12.565688973516204,25,1,0.625
8976,神岡區,房地(土地+建物),住,7,4,公寓(5樓含以下無電梯),4,0,0.0,5,27.742274999999996,13.697506783419891,39,0,0.25
9001,東區,房地(土地+建物),商,7,7,華廈(10層含以下有電梯),4,1,0.0,8,37.004825,18.916452111312513,35,0,0.8571428571428571
9157,太平區,房地(土地+建物),商,7,2,透天厝,4,0,0.0,8,27.46095,31.317197693451973,35,0,1.0
9293,南區,房地(土地+建物)+車位,住,7,5,公寓(5樓含以下無電梯),4,1,0.0,6,37.513025,10.263101949256292,31,1,1.0
9523,北屯區,房地(土地+建物),其他,7,12,住宅大樓(11層含以上有電梯),4,1,0.0,7,34.9206,15.75001575001575,25,0,0.9166666666666666
10166,北屯區,房地(土地+建物)+車位,住,7,14,套房(1房1廳1衛),4,1,150.0,3,28.099225,21.708783783182632,12,1,0.5714285714285714
10603,北區,房地(土地+建物),商,7,7,華廈(10層含以下有電梯),4,1,0.0,2,9.6679,17.894268662274126,27,0,1.0
10628,北區,房地(土地+建物)+車位,住,7,14,套房(1房1廳1衛),4,1,0.0,2,19.311600000000002,16.57035149858116,23,1,0.5
10704,南區,房地(土地+建物),其他,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,30.733999999999998,16.91937268172057,27,0,0.7857142857142857
10707,東區,房地(土地+建物),住,7,12,套房(1房1廳1衛),4,1,0.0,2,10.530025,11.395984340018186,25,0,0.6666666666666666
10865,大里區,房地(土地+建物)+車位,住,7,6,華廈(10層含以下有電梯),4,1,60.0,8,36.411925000000004,16.642899269950707,25,1,0.6666666666666666
11219,太平區,房地(土地+建物),其他,7,2,透天厝,5,0,0.0,9,22.614900000000002,26.531180770200177,42,0,1.0
11617,南區,房地(土地+建物),商,7,5,公寓(5樓含以下無電梯),4,0,0.0,7,28.035700000000002,14.98089935332451,34,0,0.4
11796,東區,房地(土地+建物),住,7,12,住宅大樓(11層含以上有電梯),4,1,0.0,3,9.250449999999999,14.59388462182921,25,0,0.5
12495,豐原區,房地(土地+建物)+車位,其他,7,11,住宅大樓(11層含以上有電梯),4,1,0.0,7,51.8122,16.019393115907064,12,1,0.9090909090909091
12496,豐原區,房地(土地+建物),商,7,2,透天厝,4,0,0.0,8,38.296499999999995,31.595576619273306,29,0,1.0
12576,西區,房地(土地+建物),其他,7,12,套房(1房1廳1衛),4,1,0.0,2,11.340725,15.872001128675635,30,0,0.3333333333333333
12639,大肚區,房地(土地+建物),住,7,3,透天厝,4,0,0.0,9,60.333625,11.071769680671434,20,0,1.0
12986,西區,房地(土地+建物),商,6,7,華廈(10層含以下有電梯),4,1,0.0,2,7.517125,32.59224770108253,38,0,0.7142857142857143
13017,西屯區,房地(土地+建物),其他,7,6,華廈(10層含以下有電梯),4,1,0.0,2,9.7768,18.820063824564276,24,0,0.8333333333333334
13199,北區,房地(土地+建物)+車位,商,6,5,公寓(5樓含以下無電梯),4,0,0.0,6,36.64485,16.50982334489021,29,1,0.2
13223,東區,房地(土地+建物)+車位,商,7,8,華廈(10層含以下有電梯),4,1,0.0,7,35.30175,16.996324544817185,26,1,1.0
13236,中區,房地(土地+建物),商,7,10,華廈(10層含以下有電梯),4,0,0.0,4,22.143,11.290249740324256,39,0,0.6
13654,烏日區,房地(土地+建物),住,7,4,公寓(5樓含以下無電梯),4,0,0.0,4,26.907375000000002,12.264295569523224,40,0,0.5
14647,龍井區,房地(土地+建物),商,7,9,華廈(10層含以下有電梯),4,0,0.0,7,47.020599999999995,12.568959137059078,7,0,0.3333333333333333
14670,太平區,房地(土地+建物)+車位,住,6,10,華廈(10層含以下有電梯),4,1,0.0,8,53.049425,13.195241984243939,27,1,0.6
14695,清水區,房地(土地+建物),住,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,53.96297499999999,10.192173430023086,14,0,0.7142857142857143
14746,北屯區,房地(土地+建物)+車位,住,7,3,透天厝,4,0,0.0,8,46.022349999999996,25.096502025646238,32,1,1.0
14776,東區,房地(土地+建物)+車位,住,7,8,套房(1房1廳1衛),4,1,0.0,3,15.708825,10.185357593581951,25,1,0.75
14903,龍井區,房地(土地+建物)+車位,住,7,7,套房(1房1廳1衛),4,1,0.0,3,31.429750000000002,16.2266642273642,10,1,1.0
15295,東區,房地(土地+建物)+車位,商,7,8,套房(1房1廳1衛),4,1,0.0,3,15.503124999999999,18.705906067325138,25,1,1.0
15338,東區,房地(土地+建物),商,7,5,公寓(5樓含以下無電梯),4,0,0.0,7,30.501075,13.11429187331922,36,0,0.6
