,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
17294,旗津區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,5,33.98285,10.74071185907009,32,0,1.0
18190,旗山區,房地(土地+建物),住,7,2,透天厝,4,0,0.0,6,78.7226,15.878540596982315,58,0,1.0
18631,前鎮區,房地(土地+建物),商,7,5,公寓(5樓含以下無電梯),4,0,0.0,7,28.011499999999998,11.95937382860611,38,0,0.6
18640,前鎮區,房地(土地+建物)+車位,商,7,21,套房(1房1廳1衛),4,1,80.0,3,13.349325,19.102089431488107,24,1,0.38095238095238093
18975,旗津區,房地(土地+建物)+車位,商,7,10,華廈(10層含以下有電梯),4,1,0.0,7,36.000525,10.30540526839539,21,1,1.0
19242,大社區,房地(土地+建物)+車位,住,7,7,華廈(10層含以下有電梯),4,1,0.0,7,30.969949999999997,10.171149775831088,25,1,0.42857142857142855
19333,鹽埕區,房地(土地+建物),商,7,2,透天厝,5,0,0.0,7,53.775425,17.666062146417254,85,0,1.0
20068,小港區,房地(土地+建物),商,7,2,透天厝,5,0,0.0,7,19.481,26.692674914018784,47,0,1.0
21064,岡山區,房地(土地+建物),其他,7,4,透天厝,4,0,0.0,8,57.771449999999994,12.982191030344575,31,0,1.0
21845,鼓山區,房地(土地+建物),商,6,5,公寓(5樓含以下無電梯),4,0,0.0,7,39.4339,11.61437240546839,31,0,1.0
22766,前鎮區,房地(土地+建物),商,6,9,華廈(10層含以下有電梯),4,1,0.0,7,29.753899999999998,13.6116609923405,24,0,0.1111111111111111
23191,鹽埕區,房地(土地+建物),住,6,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,31.32085,11.49394093710739,20,0,0.2857142857142857
24694,鹽埕區,房地(土地+建物),住,6,3,透天厝,5,0,0.0,9,50.54774999999999,22.355099880805774,55,0,1.0
25374,楠梓區,房地(土地+建物),商,6,5,公寓(5樓含以下無電梯),4,0,0.0,7,32.908975,10.27075440666262,31,0,0.6
25731,燕巢區,房地(土地+建物),商,6,2,透天厝,5,0,0.0,9,22.30635,26.001564576902993,45,0,1.0
